TF_motifs,NC,MUT
CRE ,1.00E-15,1.00E-03
GATA1? ,1.00E-08,1.00E-09
GATA2,1.00E-07,1.00E-11
GRE,1.00E-08,1.00E-13
KLF14,1.00E-16,1.00E-14
KLF6,1.00E-18,1.00E-12
MAZ,1.00E-07,1.00E-04
SP5,1.00E-08,1.00E-04
AP4,1.00E-21,1.00E-37
ARE,1.00E-09,1.00E-17
ATF4,1.00E-15,1.00E-07
ATOH1,1.00E-08,1.00E-24
BARX1,1.00E-13,1.00E-13
BCL11A,1.00E-08,1.00E-38
BMAL1,1.00E-12,1.00E-33
BRACHYURY,1.00E-06,1.00E-11
C-MYC,1.00E-02,1.00E-16
CDX4,1.00E-15,1.00E-26
CEBP:AP1,1.00E-15,1.00E-12
CHOP,1.00E-18,1.00E-11
CLOCK,1.00E-02,1.00E-09
DLX3,1.00E-20,1.00E-40
EBF,1.00E-06,1.00E-08
EGR1,1.00E-15,1.00E-54
EGR2,1.00E-06,1.00E-28
EOMES,1.00E-06,1.00E-22
ESRRB,1.00E-05,1.00E-02
ETS:RUNX,1.00E-17,1.00E-19
FOXH1,1.00E-17,1.00E-23
FXR,1.00E-07,1.00E-10
GLIS3,1.00E-10,1.00E-11
GRE1,NA,NA
GRHL2,1.00E-06,1.00E-28
HIF-1B,1.00E-05,1.00E-10
HNF4A,1.00E-02,1.00E-12
HOXB13,1.00E-17,1.00E-38
HOXC9,1.00E-17,1.00E-13
HSF1,1.00E-06,1.00E-11
IRF:BATF,1.00E-21,1.00E-13
ISL1,1.00E-18,1.00E-29
LHX2,1.00E-19,1.00E-42
LHX3,1.00E-21,1.00E-53
LRF,NA,NA
MAFF,1.00E-08,1.00E-09
MAX,1.00E-02,1.00E-20
MNT,1.00E-05,1.00E-16
N-MYC,1.00E-03,1.00E-14
NANOG,1.00E-13,1.00E-27
NEUROD1,1.00E-08,1.00E-22
NEUROG2,1.00E-09,1.00E-19
NF1:FOXA1,1.00E-06,1.00E-26
NFAT:AP1,1.00E-22,1.00E-07
NKX3.1,1.00E-25,1.00E-39
NKX6.1,1.00E-20,1.00E-43
NPAS,1.00E-07,1.00E-28
NPAS2,1.00E-02,1.00E-15
NR5A2,1.00E-05,1.00E-16
OLIG2,1.00E-05,1.00E-22
P53,1.00E-81,1.00E-246
P73,1.00E-89,1.00E-289
PAX5,1.00E-06,1.00E-08
PAX8,1.00E-12,1.00E-33
PBX2,1.00E-09,1.00E-10
PDX1,1.00E-10,1.00E-14
PITX1:EBOX,1.00E-09,1.00E-15
PRDM10,1.00E-08,1.00E-19
PROP1,1.00E-04,1.00E-08
RBPJ:EBOX,1.00E-07,1.00E-21
RORGT,1.00E-11,1.00E-15
SF1,1.00E-07,1.00E-11
SIX1,1.00E-04,1.00E-14
TBOX:SMAD,1.00E-02,1.00E-06
TBR1,1.00E-06,1.00E-17
TBX21,1.00E-05,1.00E-07
TBX5,1.00E-06,1.00E-15
TCF21,1.00E-15,1.00E-30
TCF3,1.00E-06,1.00E-31
TCF4,1.00E-09,1.00E-23
TCF7,1.00E-03,1.00E-29
TCFL2,1.00E-02,1.00E-27
TGIF1,1.00E-10,1.00E-33
TGIF2,1.00E-18,1.00E-47
THRB,1.00E-02,1.00E-21
ESC-ELEMENT,1.00E-12,1.00E-13
USF1,1.00E-04,1.00E-11
USF2,1.00E-14,1.00E-18
WT1,1.00E-11,1.00E-41
ZAC1,1.00E-13,1.00E-32
ZFP809,1.00E-14,1.00E-30
ZNF143,1.00E-04,1.00E-09
ZNF263,1.00E-02,1.00E-11
ZNF264,1.00E-02,1.00E-05
ZNF322,1.00E-05,1.00E-19
ZNF65,1.00E-06,1.00E-11
ZNF675,1.00E-03,1.00E-07
ZNF7,1.00E-04,1.00E-13
